total_changes,pid,date_reported_as_of,design_start,description,latest_budget_changes,forecast_completion,managing_agency,changes,client_agency,budget_forecast
1477.0,1901-06-24,2023-01-01,2017-06-30T00:00:00.000,Replace the Shore Road Bridge over the Hutchinson River with a new bridge.,-1091765.0,2030-01-02,DOT,-19049921.84,DOT,339641078.0
1215.0,1901-05-30,2017-09-01,2014-03-17T00:00:00.000,"Reconstruction of Storm and Sanitary sewers, Trunk and Distribution Water Main in Coney Island Area -Phase 3A, Borough of Brooklyn.",0.0,2021-09-06,DDC,25273000.0,Environmental Protection,39427000.0
,1903-03-14,2021-07-01,2016-04-27T00:00:00.000,"East Side Coastal Resiliency - Montgomery Street to East 15th Street, Manhattan",,,DDC,0.76,Parks & Recreation,1328351541.0
0.0,1903-01-01,2022-04-01,2019-06-17T00:00:00.000,NEW SCHOOL,0.0,2023-09-03,SCA,0.0,DOE,38697915.0
,1903-09-26,2023-01-01,2018-06-29T00:00:00.000,"New York County Courthouse, Building Envelope, 60 Centre Street - Restore the building envelope to ensure weather tightness and structural integrity. The work includes facades, roofs, the building’s site perimeter and landscaped areas, and specific electrical and plumbing systems, fire protection equipment and interior finishes affected by the moisture infiltration.",,2027-07-21,DDC,,DCAS,77713000.0
2142.0,1901-03-27,2021-03-01,2017-11-06T00:00:00.000,"Replacement of internal mechanisms, concrete repairs, effluent weirs, scum troughs, grease pit collection system, electrical upgrades, HVAC upgrades, evaluation and improvement of cross collector drainage in 10 PST.",9238670.0,2026-05-01,DEP,99651290.98,DEP,105146117.35
0.0,1903-04-06,2022-04-01,2022-03-18T00:00:00.000,,-980000.0,,DDC,-30000.0,Parks & Recreation,40870000.0
1389.0,1901-12-20,2019-09-01,2017-08-18T00:00:00.000,RECONSTRUCTION OF SEA WALL AND DOCK AT OWLS HEAD WWTP,0.0,2022-02-11,DEP,10985726.8,DEP,63323000.0
642.0,1901-10-12,2021-07-01,2013-03-15T00:00:00.000,"Installation of Storm sewers, Sanitary sewers, & Water mains in Whitestone Area.",8389000.0,2022-09-15,DDC,41243000.0,Environmental Protection,108079000.0
888.0,1902-05-09,2020-10-01,2019-06-15T00:00:00.000,"The Manhattan Greenway Harlem River project, between West 125th Street and Swindler Cove, involves the creation of a park, greenway, and the reconstruction of the bulkhead.",0.0,2024-06-30,EDC,0.0,DPR,227658000.0
1684.0,1901-06-05,2019-09-01,2015-11-13T00:00:00.000,Power Distribution at Bowery Bay WWTP.,2061996.2,2022-10-31,DEP,24235381.01,DEP,69367895.2
1696.0,1901-09-30,2018-08-01,2013-01-23T00:00:00.000,"Renovation of 3 floors for new office space for the Landmarks Commission, as well as new public hearing room.",-480000.0,2019-12-31,DDC,35010000.0,DCAS,31049000.0
183.0,1903-07-11,2023-01-01,2019-06-01T00:00:00.000,Emergency back-up power generation for Hunt's Point Produce Market; Solar + back-up battery installationEmergency back-up generator at 600 Food Center Drive  (servicing EDC tenants Citarella + Sultana),-5200000.0,2026-04-02,EDC,-5200000.0,EDC,76512751.0
205.0,1902-08-04,2023-01-01,2021-11-16T00:00:00.000,Rehabilitation of the Final Settling Tanks at Port Richomnd Wastewater Resources Recovery Facility.,-196174.0,2028-06-17,DEP,30972687.0,DEP,175872687.0
663.0,1902-06-16,2019-09-01,2019-07-16T00:00:00.000,CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS,0.0,2023-06-30,DDC,-1850000.0,DCAS,27500000.0
604.0,1902-03-11,2023-01-01,2000-07-10T00:00:00.000,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,12259824.0,2025-05-16,DOT,-51088528.0,"DOT, DPR",199816722.0
834.0,1902-07-20,2022-04-01,2019-09-06T00:00:00.000,Rehabilitation  of Union Turnpike  Bridge over Cross Island Parkway,-2856083.0,2028-12-02,DOT,3378281.0,DOT,64425695.0
1693.0,1901-08-14,2021-12-01,2020-01-02T00:00:00.000,Replace the Ramp to northbound Henry Hudson Parkway over Amtrak in Manhattan.,0.0,2029-05-17,DOT,500625.0,DOT,54051625.0
1720.0,1901-08-10,2023-01-01,2019-01-25T00:00:00.000,"Replace the East 156th Street bridge over Access to Housing, Bronx.",2913660.0,2029-05-22,DOT,-363846.0,DOT,65136154.0
2032.0,1901-02-06,2016-01-01,,"The EPIC - EMR Program: Electronic Medical Records (EMR) System - a single enterprise-wide EMR to meet the needs of HHC's expansive size and improve patient care will replace the legacy EMR - QuadraMed, which is over 25 years old.",0.0,2018-12-07,HHC,15184947.0,H+H,764063231.0
0.0,1903-05-03,2023-01-01,2019-12-06T00:00:00.000,NEW SCHOOL / DEMOLITION OF EXISTING X163 BUILDING,0.0,2024-09-03,SCA,-6925988.0,DOE,106257340.0
1619.0,1902-03-02,2022-09-01,2018-07-30T00:00:00.000,"Storm, Sanitary and Water Mains work in North Conduit between Baisley Blvd and Guy Brewer Blvd, South Queens",0.0,2028-11-20,DDC,31711000.0,Environmental Protection,113711000.0
406.0,1902-02-07,2021-12-01,2017-07-14T00:00:00.000,"The Department of Sanitation of the City of New York (DSNY) is planning to develop a Staten Island Districts 1 and 3 campus that will include a new garage serving both districts and renovation of the existing Borough Repair Shop.  The site is to be reconfigured with new grading and drainage, new covered salt storage, new outdoor fueling, new household special waste collection, outdoor DSNY truck parking and a new force main sanitary line to connect to the NYC DEP sewer.",2946000.0,2023-09-01,DDC,68555000.0,Sanitation,190154000.0
2252.0,1900-09-23,2020-05-01,,Upgrade and enhancement of emergency technology infrastructure to improve interoperability and coordination among public safety agencies and improve call processing time to decrease overall response times.,7079.02,2021-02-15,DOITT,73735148.87,"FDNY, NYPD",2264616690.73
1891.0,1900-11-08,2022-09-01,2014-01-01T00:00:00.000,"This project will upgrade the Borden Ave Pump Station. Footprint of the PS will be increased to ~ 2750 square feet. Convert dry well into wet well. Replace existing non-submersible pumps with submersible pumps while maintaining PS capacity of 3.9 MGD. Provide emergency portable diesel driven 4.5 MGD pump. Installation of new electrical, controls (SCADA), mechanical & HVAC systems. Provisions to support a future project to expand capacity of the PS from 3.9 MGD to 26 MGD. Upgrade resiliency per BWT guidelines. Line existing 14"" Force Main",0.0,2024-05-30,DEP,-4338327.57,DEP,33485716.43
0.0,1903-03-15,2021-07-01,2016-04-27T00:00:00.000,INSTALLATION OF EAST SIDE COASTAL RESILIENCY (ESCR) PROJECT AREA 2 FROM EAST 15TH STREET TO EAST 25TH STREET,,2024-10-13,DDC,448000.0,Parks & Recreation,216897000.0
226.0,1900-07-09,2014-01-01,2008-06-10T00:00:00.000,"Reconstruction of Wyckoff Avenue from Flushing Avenue to Cooper Avenue, in the Boroughs of Brooklyn and Queens.",-4444000.0,2035-07-16,DDC,43926000.0,Trans. & Env. Protection,28727000.0
1628.0,1900-04-23,2019-09-01,2011-02-14T00:00:00.000,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,4671999.0,,DOT,2036997.0,DOT,59689598.0
