hockey,starea,department,netball,communityboard,maintenanceagreement,kickball,primary_sport,adult_softball,frisbee,ll_softball,adult_baseball,bocce,zipcode,rugby,handball,tennis,adult_football_id,field_lighted_new,dimensions,gispropnum,youth_football,accessible_code,Volly,basketball,tbl_track_and_field,nonregulation_soccer,LnMeters,featurestatus,SysRef
0,1119.522216796875,M-11,False,111.0,0,False,BKB,False,False,False,False,False,10029.0,False,False,False,NONE,False,Half Court,M111,False,0,0,True,0,False,"133 days, 21:39:58.230303",Removed,M111-BASKETBALL-4
0,1408.0078125,Q-14,False,414.0,0,False,HDB,False,False,False,False,False,11691.0,False,True,False,NONE,False,Handball,Q007,False,0,0,False,0,False,"151 days, 9:45:16.757793",Active,Q007-01-HANDBALL-6
0,36653.94509887695,Q-12,False,412.0,0,False,TRK,False,False,False,False,False,11433.0,False,False,False,NONE,False,Track,Q121,False,0,0,False,0,False,"2759 days, 21:23:36.900884",Active,Q121-TRACK-1
0,2790.615509033203,B-18,False,318.0,1,False,TNS,False,False,False,False,False,11234.0,False,False,True,NONE,False,Tennis,B166D,False,0,0,False,0,False,"227 days, 8:20:31.818357",Active,B166D-TENNIS-2
0,59222.15327453613,M-11,False,111.0,0,False,SCR,False,False,False,False,False,10035.0,False,False,False,AFB,False,147-295ft W x 295-393ft L,M104,True,0,0,False,0,True,"995 days, 20:04:08.004399",Active,M107-ZN06-SOCCER-6
0,3989.341583251953,B-14,False,314.0,0,False,BKB,False,False,False,False,False,11230.0,False,False,False,NONE,False,Full Court,B150,False,0,0,True,0,False,"260 days, 18:42:33.930915",Active,B150-BASKETBALL-02
0,1128.456558227539,B-04,False,304.0,0,False,HDB,False,False,False,False,False,11237.0,False,True,False,NONE,False,Handball,B017,False,0,0,False,0,False,"136 days, 15:46:57.660420",Active,B017-HANDBALL-1
0,82468.56723022461,X-03,False,203.0,0,False,BSB,True,False,True,True,False,10456.0,False,False,False,NONE,False,"90ft base path, 200+ft fence",X010,False,0,0,False,0,False,"1141 days, 11:46:26.765231",Active,X010-ZN07-BASEBALL-1
0,4341.062423706055,M-12A,False,112.0,0,False,BKB,False,False,False,False,False,10040.0,False,False,False,NONE,False,Full Court,M037,False,0,0,True,0,False,"271 days, 18:57:39.610035",Active,M037-04-BASKETBALL-3
0,3363.711563110352,X-09,False,209.0,0,False,BKB,False,False,False,False,False,10473.0,False,False,False,NONE,False,Full Court,X262,False,0,0,True,0,False,"235 days, 19:14:19.108144",Active,X262-BASKETBALL-1
0,27276.88627624512,M-15,False,103.0,0,False,SFB,True,False,True,True,False,10002.0,False,False,False,NONE,False,"60ft base path, 150-200ft fence",M144,False,0,0,False,0,False,"602 days, 1:40:42.352665",Active,M144-ZN06-BASEBALL-2
0,1059.2611083984375,M-11,False,111.0,1,False,HDB,False,False,False,False,False,10029.0,False,True,False,NONE,False,Handball,M214,False,0,0,False,0,False,"133 days, 15:33:45.918058",Active,M214-HANDBALL-1
0,118269.30453491212,B-18,False,318.0,1,False,BSB,True,False,True,True,False,11236.0,False,False,False,NONE,False,"90ft base path, 200+ft fence",B018,False,0,0,False,0,False,"1312 days, 18:26:29.753001",Active,B018-ZN05-BASEBALL-3
0,2914.2198028564453,X-03,False,203.0,0,False,TNS,False,False,False,False,False,10457.0,False,False,False,NONE,True,Tennis,X010,False,0,0,False,0,False,"230 days, 20:52:48.657125",Active,X010-ZN03-TENNIS-21
0,15879.056991577148,X-02,False,202.0,0,False,SFB,True,False,True,True,False,10474.0,False,False,False,NONE,False,"60ft base path, 150-200ft fence",X260,False,0,0,False,0,False,"472 days, 12:55:43.414595",Active,X260-BASEBALL-2
0,2743.1776123046875,Q-11,False,411.0,0,False,TNS,False,False,False,False,False,11361.0,False,False,True,NONE,False,Tennis,Q364,False,0,0,False,0,False,"224 days, 8:37:52.320963",Inactive,Q364-TENNIS-1
0,1247.6403045654297,B-10,False,310.0,0,False,HDB,False,False,False,False,False,11228.0,False,True,False,NONE,False,Handball,B028,False,0,0,False,0,False,"148 days, 12:18:17.906890",Active,B028-ZN01-HANDBALL-4
0,1020.7840270996094,Q-07,False,407.0,0,False,HDB,False,False,False,False,False,11355.0,False,True,False,NONE,False,Handball,Q300,False,0,0,False,0,False,"130 days, 8:10:23.135913",Active,Q300-05-HANDBALL-3
0,1807.70166015625,B-02,False,302.0,0,False,BKB,False,False,False,False,False,11205.0,False,False,False,NONE,False,Half Court,B300,False,0,0,True,0,False,"170 days, 18:00:08.816776",Active,B300-BASKETBALL-1
0,1042.0305786132812,B-11,False,311.0,0,False,BKB,False,False,False,False,False,11214.0,False,False,False,NONE,False,Half Court,B007,False,0,0,True,0,False,"129 days, 3:31:41.343334",Active,B007-BASKETBALL-4
0,4800.273025512695,Q-12,False,412.0,0,False,BKB,False,False,False,False,False,11433.0,False,False,False,NONE,False,Full Court,Q127,False,0,0,True,0,False,"290 days, 20:39:29.235111",Active,Q127-BASKETBALL-1
0,1597.9120178222656,Q-13,False,413.0,0,False,HDB,False,False,False,False,False,11426.0,False,True,False,NONE,False,Handball,Q358,False,0,0,False,0,False,"160 days, 19:59:28.770376",Active,Q358-HANDBALL-1
0,1196.9493560791016,Q-14,False,414.0,0,False,BKB,False,False,False,False,False,11694.0,False,False,False,NONE,False,Half Court,Q389,False,0,0,False,0,False,"139 days, 3:13:27.386834",Active,Q389-BASKETBALL-10
0,67278.91342163086,B-13,False,313.0,0,False,BSB,True,False,True,True,False,11214.0,False,False,False,NONE,False,"90ft base path, 200+ft fence",B166C,False,0,0,False,0,False,"978 days, 12:05:11.276332",Active,B166C-ZN02-BASEBALL-5
0,76747.21542358398,X-13,False,226.0,0,False,BSB,False,False,False,True,False,10471.0,False,False,False,NONE,False,"90ft base path, 200+ft fence",X092,False,0,0,False,0,False,"1059 days, 14:19:09.424641",Active,X092-ZN06-BASEBALL-2
0,32024.218872070312,Q-11,False,411.0,0,False,SFB,True,False,True,True,False,11364.0,False,False,False,NONE,False,"60ft base path, 150-200ft fence",Q388,False,0,0,False,0,False,"700 days, 14:57:04.197460",Active,Q388-BASEBALL-1
0,2770.8902130126958,Q-08,False,408.0,0,False,TNS,False,False,False,False,False,11423.0,False,False,True,NONE,False,Tennis,Q021,False,0,0,False,0,False,"226 days, 20:29:24.796415",Active,Q021-ZN02-TENNIS-10
0,40201.768295288086,Q-07,False,407.0,0,False,TRK,False,False,False,False,False,11365.0,False,False,False,NONE,False,Jogging Path,Q024,False,0,0,False,0,False,"2838 days, 11:24:00.622203",Active,Q024-ZN04-TRACK-1
0,1015.9127807617188,Q-02,False,402.0,0,False,HDB,False,False,False,False,False,11104.0,False,True,False,NONE,False,Handball,Q340,False,0,0,False,0,False,"131 days, 1:55:28.140169",Active,Q340-HANDBALL-3
0,2650.5873413085938,Q-01,False,401.0,0,False,TNS,False,False,False,False,False,11105.0,False,False,True,NONE,False,Tennis,Q004,False,0,0,False,0,False,"222 days, 11:09:31.656346",Active,Q004-ZN04-TENNIS-6
0,1317.5220489501953,M-09,False,109.0,0,False,HDB,False,False,False,False,False,10027.0,False,True,False,NONE,False,Handball,M190,False,0,0,False,0,False,"145 days, 22:40:39.182133",Active,M190-HANDBALL-1
0,35808.20812988281,Q-11,False,411.0,0,False,SFB,False,False,True,False,False,11364.0,False,False,False,NONE,False,"60ft base path, 150-200ft fence",Q001,False,0,0,False,0,False,"717 days, 2:23:09.071455",Active,Q001-ZN03-BASEBALL-1
0,1096.151870727539,Q-01,False,401.0,0,False,HDB,False,False,False,False,False,11103.0,False,True,False,NONE,False,Handball,Q444,False,0,0,False,0,False,"134 days, 1:40:53.707259",Active,Q444-HANDBALL-1
0,2341.383071899414,Q-08,False,408.0,0,False,BKB,False,False,False,False,False,11367.0,False,False,False,NONE,False,Half Court,Q376,False,0,0,True,0,False,"193 days, 16:13:53.905972",Active,Q376-BASKETBALL-4
0,5982.579177856445,B-13,False,313.0,0,False,,False,False,False,False,False,11224.0,False,False,False,NONE,False,,B369,False,0,0,False,0,False,"286 days, 21:19:30.242170",Inactive,B369-BASEBALL-1
0,1509.6204223632812,M-03,False,103.0,0,False,HDB,False,False,False,False,False,10002.0,False,True,False,NONE,False,Handball,M065,False,0,0,False,0,False,"156 days, 9:13:19.604682",Active,M065-HANDBALL-3
