complaint_id,unique_key,borough,post_code,apartment,problem_status_date,space_type,complaint_status,nta,problem_status,block,STAT_TS,ISSUE_ID,bin,unit_type,BUILDING_ID,LNG_AXIS,received_date,problem_duplicate_flag,CNL_SECT,bbl
12292744,58657001.0,BROOKLYN,11212.0,4D,2023-09-09T08:45:16.000,ENTIRE APARTMENT,CLOSE,Brownsville,CLOSE,1910-03-14,2023-09-10,24391973,3083891.0,APARTMENT,809170,-73.9065,2023-08-29T12:57:59.000,False,Zone-41,3037260013
12167860,57579048.0,BRONX,10469.0,3,2023-05-12T07:10:09.000,KITCHEN,CLOSE,Eastchester-Edenwald-Baychester,CLOSE,1912-12-04,2023-05-13,24100993,2087331.0,APARTMENT,806748,-73.8481,2023-05-11T14:33:52.000,False,Zone-12,2047220067
5075084,16008836.0,BROOKLYN,11230.0,6C,2010-02-18T11:03:33.000,ENTIRE BUILDING,CLOSE,Midwood,CLOSE,1918-05-31,2010-02-19,10058268,3180419.0,BUILDING,189600,-73.9608,2010-02-15T07:58:07.000,False,Zone-44,3067260001
5094162,16111615.0,BROOKLYN,11230.0,BLDG,2010-03-15T14:31:38.000,ENTIRE BUILDING,CLOSE,Flatbush (West)-Ditmas Park-Parkville,CLOSE,1914-05-06,2010-03-19,10103918,3121385.0,BUILDING,347166,-73.9583,2010-03-01T10:56:16.000,False,Zone-45,3052400107
12162150,57519681.0,BRONX,10459.0,BUILDI,2023-05-14T11:31:37.000,HALLWAY,CLOSE,Morrisania,CLOSE,1907-04-30,2023-06-01,24083034,2005012.0,PUBLIC AREA,104595,-73.9008,2023-05-05T20:46:47.000,False,Zone-17,2026770070
5060370,15942218.0,MANHATTAN,10035.0,4,2010-03-01T07:34:59.000,BEDROOM,CLOSE,East Harlem (North),CLOSE,1904-10-17,2010-03-02,10027090,1054157.0,APARTMENT,24797,-73.9395,2010-02-05T08:06:42.000,False,Zone-9,1017520054
5074248,16002262.0,MANHATTAN,10034.0,5,2010-02-21T10:14:25.000,BATHROOM,CLOSE,Inwood,CLOSE,1906-02-14,2010-02-22,10056741,1064943.0,APARTMENT,5398,-73.9254,2010-02-14T09:02:48.000,False,Zone-10,1022370043
5085935,16067348.0,BROOKLYN,11225.0,A52,2010-02-27T14:09:53.000,BATHROOM,CLOSE,Prospect Lefferts Gardens-Wingate,CLOSE,1903-08-19,2010-02-28,10085040,3340289.0,APARTMENT,326987,-73.9601,2010-02-23T12:42:54.000,False,Zone-40,3013270001
12806249,60545299.0,QUEENS,11375.0,4B,2024-06-05T19:27:27.000,LIVING ROOM,CLOSE,Forest Hills,CLOSE,1908-09-03,2024-06-07,25286520,4075093.0,APARTMENT,822026,-73.8542,2024-03-10T00:53:29.000,False,Zone-29,4031690021
5070058,15976264.0,BROOKLYN,11221.0,1,2010-03-01T10:00:20.000,ENTIRE APARTMENT,CLOSE,Bushwick (East),CLOSE,1909-04-03,2010-03-02,10047344,3077523.0,APARTMENT,316691,-73.9156,2010-02-10T22:11:43.000,False,Zone-37,3033810057
12364679,59121553.0,MANHATTAN,10040.0,BLDG,2023-10-18T19:45:58.000,BUILDING-WIDE,CLOSE,Washington Heights (North),CLOSE,1905-12-14,2023-10-19,24553986,1064247.0,BUILDING-WIDE,6139,-73.9285,2023-10-15T07:59:53.000,False,Zone-10,1021750150
5084826,16057781.0,BROOKLYN,11238.0,1,2010-04-14T10:24:45.000,BATHROOM,CLOSE,Crown Heights (North),CLOSE,1903-02-21,2010-04-15,10082231,3028261.0,APARTMENT,209045,-73.9615,2010-02-22T15:39:31.000,False,Zone-35,3011480015
5052648,15905592.0,QUEENS,11377.0,3R,2011-07-20T13:55:34.000,ENTIRE APARTMENT,CLOSE,Sunnyside,CLOSE,1903-08-13,2011-07-21,10009839,4519792.0,APARTMENT,833409,-73.9117,2010-02-01T10:14:52.000,False,Zone-26,4013210036
11779975,56202786.0,BRONX,10472.0,D9,2023-05-14T11:44:39.000,KITCHEN,CLOSE,Soundview-Bruckner-Bronx River,CLOSE,1910-03-27,2023-05-13,23470539,2023837.0,APARTMENT,75980,-73.8788,2022-12-09T17:18:15.000,False,Zone-17,2037390059
5082792,16047654.0,BRONX,10461.0,1,2010-03-12T07:38:00.000,LIVING ROOM,CLOSE,Westchester Square,CLOSE,1911-02-24,2010-03-13,10077204,2093103.0,APARTMENT,122543,-73.8440,2010-02-20T17:44:59.000,False,Zone-18,2040730001
